ArtistID,ArtistName,ArtistType,ArtistCategory
717,李愛綺(李嘉),女藝人,A
718,李夢瑤,女藝人,A
719,李碧華,女藝人,A
720,李德筠 Te Yun Li,女藝人,A
721,李靜芳,女藝人,A
722,李爍,女藝人,A
723,李蘋果,女藝人,A
724,林凡,女藝人,A
725,林子娟,女藝人,A
726,林心穎 Sing,女藝人,A
727,林以真,女藝人,A
728,林以樂,女藝人,A
729,林吟蔚,女藝人,A
730,林沛蕎 Lulu Lin,女藝人,A
731,林育彤,女藝人,A
732,林依晨,女藝人,A
733,林佳蓉＆許淑絹,女藝人,A
734,林宛臻,女藝人,A
735,林明禎,女藝人,A
736,林芯儀,女藝人,A
737,林采欣 Bae Lin,女藝人,A
738,林昱君,女藝人,A
739,林飛如,女藝人,A
740,林淑容,女藝人,A
741,林笛,女藝人,A
742,林逸欣 Shara Lin,女藝人,A
743,林愷倫 Karencici,女藝人,A
744,林慧萍,女藝人,A
745,林憶蓮 Sandy Lam,女藝人,A
746,林默,女藝人,A
747,林靈,女藝人,A
748,花兒(林佳音),女藝人,A
749,凌菲,女藝人,A
750,梁心頤 LARA LIANG,女藝人,A
751,梁文音,女藝人,A
752,梁詠琪,女藝人,A
753,梁靜茹 Fish Leong,女藝人,A
754,陸瑤 Lu Yao,女藝人,A
755,琳誼 Ring,女藝人,A
756,路嘉欣,女藝人,A
757,雷光夏 Summer Lei,女藝人,A
758,雷佳,女藝人,A
759,雷婷,女藝人,A
760,劉力揚,女藝人,A
761,劉心語 Anastasia,女藝人,A
762,劉文玉,女藝人,A
763,劉亦菲 Liuyifei,女藝人,A
764,劉艾立 Erika,女藝人,A
765,劉明湘 Rose Liu,女藝人,A
766,劉芳,女藝人,A
767,劉思涵 Koala Liu,女藝人,A
768,劉若英 Rene Liu,女藝人,A
769,劉容嘉,女藝人,A
770,劉紫玲,女藝人,A
771,劉瑞琦,女藝人,A
772,劉憲華 Henry,女藝人,A
773,劉濤,女藝人,A
